MatchDate,PlayerOneId,PlayerTwoId,SetOnePlayerOneScore,SetOnePlayerTwoScore,SetTwoPlayerOneScore,SetTwoPlayerTwoScore,SetThreePlayerOneScore,SetThreePlayerTwoScore
2019-01-04,13,7,7,6,3,6,4,6
2019-01-04,6,2,4,6,3,6,0,0
2019-01-04,10,4,4,6,4,6,0,0
2019-01-04,11,3,6,4,6,7,6,2
2019-01-05,8,15,6,4,3,6,4,6
2019-01-05,9,12,6,2,6,1,0,0
2019-01-05,16,14,4,6,6,7,0,0
2019-01-05,1,5,6,4,4,6,4,6
2019-01-06,7,6,6,4,3,6,2,6
2019-01-06,4,11,6,4,6,2,0,0
2019-01-07,15,9,4,6,4,6,0,0
2019-01-07,14,5,6,4,4,6,6,2
2019-01-08,6,4,4,6,6,7,0,0
2019-01-08,9,14,6,4,4,6,6,4
2019-01-09,9,4,6,4,4,6,6,7
